frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"2","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"3","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"4","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"5","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"6","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"7","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"8","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"9","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"10","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"11","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"12","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"13","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"14","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"15","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"16","Dec 31, 1969 19:00:05.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"17","Dec 31, 1969 19:00:05.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"18","Dec 31, 1969 19:00:05.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"19","Dec 31, 1969 19:02:54.256977000 EST","127.0.0.1","127.0.0.1","6","84"
"20","Dec 31, 1969 19:02:54.256977000 EST","127.0.0.1","127.0.0.1","6","84"
