frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.1","6","40"
"2","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.1","6","40"
"3","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.1","6","40"
"4","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.2","6","40"
"5","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","40"
"6","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","40"
"7","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","40"
"8","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","40"
"9","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","1500"
"10","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","1500"
"11","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","1500"
"12","Dec 31, 1969 19:00:02.000000000 EST","100.0.0.3","100.0.0.3","6","1500"
"13","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","40"
"14","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","40"
"15","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","306"
"16","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","306"
"17","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","100"
"18","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","40"
"19","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","100"
"20","Dec 31, 1969 19:00:02.001000000 EST","100.0.0.3","100.0.0.3","6","40"
"21","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"22","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"23","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"24","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"25","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"26","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"27","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"28","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"29","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"30","Dec 31, 1969 19:00:02.002000000 EST","100.0.0.3","100.0.0.3","6","40"
"31","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.1","100.0.0.3","6","40"
"32","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.3","100.0.0.1","6","40"
"33","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.1","100.0.0.3","6","40"
"34","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.3","100.0.0.1","6","40"
"35","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.1","100.0.0.3","6","40"
"36","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.3","100.0.0.1","6","40"
"37","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.2","100.0.0.3","6","40"
"38","Dec 31, 1969 19:00:02.029903000 EST","100.0.0.3","100.0.0.2","6","40"
"39","Dec 31, 1969 19:00:02.059806000 EST","100.0.0.1","100.0.0.3","6","40"
