frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"2","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"3","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"4","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"5","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"6","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"7","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"8","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"9","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"10","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"11","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"12","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"13","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"14","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"15","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"16","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"17","Dec 31, 1969 19:00:02.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"18","Dec 31, 1969 19:00:02.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"19","Dec 31, 1969 19:02:30.002204000 EST","127.0.0.1","127.0.0.1","6","126"
"20","Dec 31, 1969 19:02:30.002204000 EST","127.0.0.1","127.0.0.1","6","126"
"21","Dec 31, 1969 19:02:30.003204000 EST","127.0.0.1","127.0.0.1","6","40"
"22","Dec 31, 1969 19:02:30.003204000 EST","127.0.0.1","127.0.0.1","6","40"
"23","Dec 31, 1969 19:02:30.025204000 EST","127.0.0.1","127.0.0.1","6","503"
"24","Dec 31, 1969 19:02:30.025204000 EST","127.0.0.1","127.0.0.1","6","503"
"25","Dec 31, 1969 19:02:30.026204000 EST","127.0.0.1","127.0.0.1","6","40"
"26","Dec 31, 1969 19:02:30.026204000 EST","127.0.0.1","127.0.0.1","6","40"
"27","Dec 31, 1969 19:02:30.688584000 EST","127.0.0.1","127.0.0.1","6","159"
"28","Dec 31, 1969 19:02:30.688584000 EST","127.0.0.1","127.0.0.1","6","159"
"29","Dec 31, 1969 19:02:30.688584000 EST","127.0.0.1","127.0.0.1","6","59"
"30","Dec 31, 1969 19:02:30.688584000 EST","127.0.0.1","127.0.0.1","6","59"
"31","Dec 31, 1969 19:02:30.688584000 EST","127.0.0.1","127.0.0.1","6","69"
"32","Dec 31, 1969 19:02:30.688584000 EST","127.0.0.1","127.0.0.1","6","69"
"33","Dec 31, 1969 19:02:30.689584000 EST","127.0.0.1","127.0.0.1","6","40"
"34","Dec 31, 1969 19:02:30.689584000 EST","127.0.0.1","127.0.0.1","6","40"
"35","Dec 31, 1969 19:02:31.025584000 EST","127.0.0.1","127.0.0.1","6","143"
"36","Dec 31, 1969 19:02:31.025584000 EST","127.0.0.1","127.0.0.1","6","143"
"37","Dec 31, 1969 19:02:31.026584000 EST","127.0.0.1","127.0.0.1","6","40"
"38","Dec 31, 1969 19:02:31.026584000 EST","127.0.0.1","127.0.0.1","6","40"
"39","Dec 31, 1969 19:02:31.072790000 EST","127.0.0.1","127.0.0.1","6","197"
"40","Dec 31, 1969 19:02:31.072790000 EST","127.0.0.1","127.0.0.1","6","197"
"41","Dec 31, 1969 19:02:31.073790000 EST","127.0.0.1","127.0.0.1","6","40"
"42","Dec 31, 1969 19:02:31.073790000 EST","127.0.0.1","127.0.0.1","6","40"
"43","Dec 31, 1969 19:02:31.149202000 EST","127.0.0.1","127.0.0.1","6","250"
"44","Dec 31, 1969 19:02:31.149202000 EST","127.0.0.1","127.0.0.1","6","250"
"45","Dec 31, 1969 19:02:31.150202000 EST","127.0.0.1","127.0.0.1","6","40"
"46","Dec 31, 1969 19:02:31.150202000 EST","127.0.0.1","127.0.0.1","6","40"
"47","Dec 31, 1969 19:02:31.382862000 EST","127.0.0.1","127.0.0.1","6","563"
"48","Dec 31, 1969 19:02:31.382862000 EST","127.0.0.1","127.0.0.1","6","563"
"49","Dec 31, 1969 19:02:31.383862000 EST","127.0.0.1","127.0.0.1","6","40"
"50","Dec 31, 1969 19:02:31.383862000 EST","127.0.0.1","127.0.0.1","6","40"
"51","Dec 31, 1969 19:02:31.689426000 EST","127.0.0.1","127.0.0.1","6","60"
"52","Dec 31, 1969 19:02:31.689426000 EST","127.0.0.1","127.0.0.1","6","60"
"53","Dec 31, 1969 19:02:31.690426000 EST","127.0.0.1","127.0.0.1","6","40"
"54","Dec 31, 1969 19:02:31.690426000 EST","127.0.0.1","127.0.0.1","6","40"
"55","Dec 31, 1969 19:02:32.026426000 EST","127.0.0.1","127.0.0.1","6","172"
"56","Dec 31, 1969 19:02:32.026426000 EST","127.0.0.1","127.0.0.1","6","172"
"57","Dec 31, 1969 19:02:32.027426000 EST","127.0.0.1","127.0.0.1","6","40"
"58","Dec 31, 1969 19:02:32.027426000 EST","127.0.0.1","127.0.0.1","6","40"
"59","Dec 31, 1969 19:02:32.073632000 EST","127.0.0.1","127.0.0.1","6","226"
"60","Dec 31, 1969 19:02:32.073632000 EST","127.0.0.1","127.0.0.1","6","226"
"61","Dec 31, 1969 19:02:32.074632000 EST","127.0.0.1","127.0.0.1","6","40"
"62","Dec 31, 1969 19:02:32.074632000 EST","127.0.0.1","127.0.0.1","6","40"
"63","Dec 31, 1969 19:02:32.362342000 EST","127.0.0.1","127.0.0.1","6","284"
"64","Dec 31, 1969 19:02:32.362342000 EST","127.0.0.1","127.0.0.1","6","284"
"65","Dec 31, 1969 19:02:32.363342000 EST","127.0.0.1","127.0.0.1","6","40"
"66","Dec 31, 1969 19:02:32.363342000 EST","127.0.0.1","127.0.0.1","6","40"
"67","Dec 31, 1969 19:02:32.690334000 EST","127.0.0.1","127.0.0.1","6","58"
"68","Dec 31, 1969 19:02:32.690334000 EST","127.0.0.1","127.0.0.1","6","58"
"69","Dec 31, 1969 19:02:32.691334000 EST","127.0.0.1","127.0.0.1","6","40"
"70","Dec 31, 1969 19:02:32.691334000 EST","127.0.0.1","127.0.0.1","6","40"
"71","Dec 31, 1969 19:02:32.735156000 EST","127.0.0.1","127.0.0.1","6","631"
"72","Dec 31, 1969 19:02:32.735156000 EST","127.0.0.1","127.0.0.1","6","631"
"73","Dec 31, 1969 19:02:32.736156000 EST","127.0.0.1","127.0.0.1","6","40"
"74","Dec 31, 1969 19:02:32.736156000 EST","127.0.0.1","127.0.0.1","6","40"
"75","Dec 31, 1969 19:02:33.027156000 EST","127.0.0.1","127.0.0.1","6","172"
"76","Dec 31, 1969 19:02:33.027156000 EST","127.0.0.1","127.0.0.1","6","172"
"77","Dec 31, 1969 19:02:33.028156000 EST","127.0.0.1","127.0.0.1","6","40"
"78","Dec 31, 1969 19:02:33.028156000 EST","127.0.0.1","127.0.0.1","6","40"
"79","Dec 31, 1969 19:02:33.073362000 EST","127.0.0.1","127.0.0.1","6","226"
"80","Dec 31, 1969 19:02:33.073362000 EST","127.0.0.1","127.0.0.1","6","226"
"81","Dec 31, 1969 19:02:33.074362000 EST","127.0.0.1","127.0.0.1","6","40"
"82","Dec 31, 1969 19:02:33.074362000 EST","127.0.0.1","127.0.0.1","6","40"
"83","Dec 31, 1969 19:02:33.171092000 EST","127.0.0.1","127.0.0.1","6","284"
"84","Dec 31, 1969 19:02:33.171092000 EST","127.0.0.1","127.0.0.1","6","284"
"85","Dec 31, 1969 19:02:33.172092000 EST","127.0.0.1","127.0.0.1","6","40"
"86","Dec 31, 1969 19:02:33.172092000 EST","127.0.0.1","127.0.0.1","6","40"
"87","Dec 31, 1969 19:02:33.328628000 EST","127.0.0.1","127.0.0.1","6","631"
"88","Dec 31, 1969 19:02:33.328628000 EST","127.0.0.1","127.0.0.1","6","631"
"89","Dec 31, 1969 19:02:33.329628000 EST","127.0.0.1","127.0.0.1","6","40"
"90","Dec 31, 1969 19:02:33.329628000 EST","127.0.0.1","127.0.0.1","6","40"
"91","Dec 31, 1969 19:02:33.690628000 EST","127.0.0.1","127.0.0.1","6","58"
"92","Dec 31, 1969 19:02:33.690628000 EST","127.0.0.1","127.0.0.1","6","58"
"93","Dec 31, 1969 19:02:33.691628000 EST","127.0.0.1","127.0.0.1","6","40"
"94","Dec 31, 1969 19:02:33.691628000 EST","127.0.0.1","127.0.0.1","6","40"
"95","Dec 31, 1969 19:02:34.027628000 EST","127.0.0.1","127.0.0.1","6","172"
"96","Dec 31, 1969 19:02:34.027628000 EST","127.0.0.1","127.0.0.1","6","172"
"97","Dec 31, 1969 19:02:34.028628000 EST","127.0.0.1","127.0.0.1","6","40"
"98","Dec 31, 1969 19:02:34.028628000 EST","127.0.0.1","127.0.0.1","6","40"
"99","Dec 31, 1969 19:02:34.073834000 EST","127.0.0.1","127.0.0.1","6","226"
"100","Dec 31, 1969 19:02:34.073834000 EST","127.0.0.1","127.0.0.1","6","226"
"101","Dec 31, 1969 19:02:34.074834000 EST","127.0.0.1","127.0.0.1","6","40"
"102","Dec 31, 1969 19:02:34.074834000 EST","127.0.0.1","127.0.0.1","6","40"
"103","Dec 31, 1969 19:02:34.171564000 EST","127.0.0.1","127.0.0.1","6","284"
"104","Dec 31, 1969 19:02:34.171564000 EST","127.0.0.1","127.0.0.1","6","284"
"105","Dec 31, 1969 19:02:34.172564000 EST","127.0.0.1","127.0.0.1","6","40"
"106","Dec 31, 1969 19:02:34.172564000 EST","127.0.0.1","127.0.0.1","6","40"
"107","Dec 31, 1969 19:02:34.333100000 EST","127.0.0.1","127.0.0.1","6","631"
"108","Dec 31, 1969 19:02:34.333100000 EST","127.0.0.1","127.0.0.1","6","631"
"109","Dec 31, 1969 19:02:34.334100000 EST","127.0.0.1","127.0.0.1","6","40"
"110","Dec 31, 1969 19:02:34.334100000 EST","127.0.0.1","127.0.0.1","6","40"
"111","Dec 31, 1969 19:02:34.691100000 EST","127.0.0.1","127.0.0.1","6","58"
"112","Dec 31, 1969 19:02:34.691100000 EST","127.0.0.1","127.0.0.1","6","58"
"113","Dec 31, 1969 19:02:34.692100000 EST","127.0.0.1","127.0.0.1","6","40"
"114","Dec 31, 1969 19:02:34.692100000 EST","127.0.0.1","127.0.0.1","6","40"
"115","Dec 31, 1969 19:02:35.691100000 EST","127.0.0.1","127.0.0.1","6","53"
"116","Dec 31, 1969 19:02:35.691100000 EST","127.0.0.1","127.0.0.1","6","53"
"117","Dec 31, 1969 19:02:35.692100000 EST","127.0.0.1","127.0.0.1","6","40"
"118","Dec 31, 1969 19:02:35.692100000 EST","127.0.0.1","127.0.0.1","6","40"
"119","Dec 31, 1969 19:02:36.691100000 EST","127.0.0.1","127.0.0.1","6","53"
"120","Dec 31, 1969 19:02:36.691100000 EST","127.0.0.1","127.0.0.1","6","53"
"121","Dec 31, 1969 19:02:36.692100000 EST","127.0.0.1","127.0.0.1","6","40"
"122","Dec 31, 1969 19:02:36.692100000 EST","127.0.0.1","127.0.0.1","6","40"
